Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas8906           Pavarde8906                      3         3         5         2         6         3         6         7         5         2        10         2         2         6         3         5
Vardas8907           Pavarde8907                      9         1         8        10         8         6         5         9         7        10        10         8         1         6         6         6
Vardas8908           Pavarde8908                      7         7         3         2         1         5         9         1         4         8         5         5         5         2         9         4
Vardas8909           Pavarde8909                      1        10         3         7        10         6         1         3         4         7         5         8         3         2        10         8
Vardas8910           Pavarde8910                      9        10        10         8         6         8         4         3         5         7         9         4         5         7         5         4
Vardas8911           Pavarde8911                      5         6         6         3         4         9         7         1         9         6         1         2         3         1         1         2
Vardas8912           Pavarde8912                      9         4         3        10         7         2         9         4         1         2         9        10        10         2         9         8
Vardas8913           Pavarde8913                      9         1         7         6         6         9         2         1         8         8         9         4         9         6         7         4
Vardas8914           Pavarde8914                      7         7         4         3         4         7         6         5        10         2         4         5         8         4        10         5
Vardas8915           Pavarde8915                      8         7         1         1         3         8         6         4        10         1         8         2         2         9        10         3
Vardas8916           Pavarde8916                      2         1         6         8         1        10         5         5         1         3         7        10         4         2         8         9
Vardas8917           Pavarde8917                      9         3         4         2         3         6         4        10         4        10         5         5         1         3         8         9
Vardas8918           Pavarde8918                     10         5         5         3         3         2         7         2         9         3         2         1         4         4         3         9
Vardas8919           Pavarde8919                      5         2         2        10         5         2        10         4         7         9         6         4         1         4        10         4
Vardas8920           Pavarde8920                      6         1         6         5         9        10         8         6         8         1         6         1         8         3         8        10
Vardas8921           Pavarde8921                      8         1         8         1        10         2         3         1        10         5         7         7         9        10         1         6
Vardas8922           Pavarde8922                     10        10        10         7         1        10         1         2        10         8         5        10         3         8         7        10
Vardas8923           Pavarde8923                      5         9         1         7         6         3         7         3         9         1         8         2         9         9         3         7
Vardas8924           Pavarde8924                      8         8        10        10         7         9         1        10         6        10        10         9         9         1         2         6
Vardas8925           Pavarde8925                      7         8         8         2         2         2         1         2         2         2        10         7         5         3         1        10
Vardas8926           Pavarde8926                      5         2         2         6         5         6         6         6         6         4         1         3         5         4         6        10
Vardas8927           Pavarde8927                      8         8         3         7         2         4         3        10         8         7         6         6         5         3         7         3
Vardas8928           Pavarde8928                      7         6         5         1        10        10         8        10         2         7        10         5         3         7         8         8
Vardas8929           Pavarde8929                     10         4         6         9         3         6         5         3         6         3         8         1         2         8         3         8
Vardas8930           Pavarde8930                      1         7         2         8         4         5        10         6        10         9         1         9         8         1        10         7
Vardas8931           Pavarde8931                      9         4         9         9         2         6         3         7        10         5         2        10         1         2         1         3
Vardas8932           Pavarde8932                      9         1         9         5         4         4         4         6         4         7         1         1        10         9        10         3
Vardas8933           Pavarde8933                      1         7        10         2         9         3         5         1        10         4         6         9         3        10         3         6
Vardas8934           Pavarde8934                      8         2         7         4         9         6         6         8         7        10         1         8         6         9         4         7
Vardas8935           Pavarde8935                      1         7         9         4         6         1        10         2         5         3         1         6         6         9        10         1
Vardas8936           Pavarde8936                      6         2         7         7         8         4         4         7         2         2         6         8         7         8        10         7
Vardas8937           Pavarde8937                      9         1         6        10         6         2         3         3         9         8         7         6         6         5         7        10
Vardas8938           Pavarde8938                     10         8         6         6         6         3         6         1         4         9         4         6         1         6         9         6
Vardas8939           Pavarde8939                      2         5         1         7         3         1         5         2         4         8         7         8         6         3         3         6
Vardas8940           Pavarde8940                      7         3         3         7         6         2         4         1         4         4        10         3        10         8         9         1
Vardas8941           Pavarde8941                     10         6         2        10         9         8         7         7        10         9         4         7         5         6         1         5
Vardas8942           Pavarde8942                      7         8         1         4         6         7         6         3         7         9         5         2         5         8        10         8
Vardas8943           Pavarde8943                     10         7         4         4         6         1         3         8         7         6         8         2         3         7         9        10
Vardas8944           Pavarde8944                      8         4         6         8         1         6         3         2         6         9         2         1         5         7         8         9
Vardas8945           Pavarde8945                     10         4         7         4         7         3         6         9         8         5         4         3         3         8         1         8
Vardas8946           Pavarde8946                      1         1         1         3         6         7         9         1         9         3         9         6         1         2        10         3
Vardas8947           Pavarde8947                      1         2         4         8        10         6        10         7         9         5         8         3         5         2         1         5
Vardas8948           Pavarde8948                      3         3         1         5         2         6         1         1        10         8         6         7         2         3         6         8
Vardas8949           Pavarde8949                      1         3         5         5         9         2         1         7         5         6         8         9         7         6         8         5
Vardas8950           Pavarde8950                      7         3         8         1         6         7         9         2         4         9        10         2         3         9         1         5
Vardas8951           Pavarde8951                      7         9         8         8         7         2         8        10         4         4         7         5         3         9         7         4
Vardas8952           Pavarde8952                      5         3         2         1         6         3         7         5         5         2        10         2         3         2        10         1
Vardas8953           Pavarde8953                      5         4         3         9         6        10         5         2         2         1         8         5         9         7         6         6
Vardas8954           Pavarde8954                      6         3         9         4         9         2        10         2         3         3         7         4         3         3         6         7
Vardas8955           Pavarde8955                      8        10        10         7         6         1         3         4         7         6         3         2        10         5         1         2
Vardas8956           Pavarde8956                      6         7         6         7         1         6         4         2         8        10         6         7        10         8         5        10
Vardas8957           Pavarde8957                      9         6        10         5         8         8         8         8         9         9         4         9         1         3         9        10
Vardas8958           Pavarde8958                      5         5         1         9        10         4         1         8         3         6        10         3         8         6         1         4
Vardas8959           Pavarde8959                      2         2        10         3         1         2         3         5         4         8        10         4         5         9         2        10
Vardas8960           Pavarde8960                     10         3         5         6         4         9         5         3         7        10         3         5         2         3         9         2
Vardas8961           Pavarde8961                     10         4         8         1         1         5         3         6         7         7         9         9         2         5         3         4
Vardas8962           Pavarde8962                      8         6         6        10         7         8         3         1         3         1         5         8         3         3         1        10
Vardas8963           Pavarde8963                      5         2         4         4         9        10         9         9         6         7         4         8         8         9        10         7
Vardas8964           Pavarde8964                      8         3        10         8         9        10         9         9         4         6         7         6        10         4         2         9
Vardas8965           Pavarde8965                      6         6         5         2         1         3        10         5         9         1         4         8        10         7         7         1
Vardas8966           Pavarde8966                      6         7         3         8         8         5         3         2         9         4         1         4         6         6         3         5
Vardas8967           Pavarde8967                      5         1         1         8         7         6         1         6         9         4         5         1         7         5         9         6
Vardas8968           Pavarde8968                      6         8         7         9         9         7         2         2         2         7        10         7         7        10         6         7
Vardas8969           Pavarde8969                      3         2         4         2         6         7         5         9         4         3         7         2         9         8         2         4
Vardas8970           Pavarde8970                      4         4         6         3         4         4         5         5         7         6         4         2         6         8         9         4
Vardas8971           Pavarde8971                      6         8         9         6         3         9         7         5         1         5         1         3         5         9         2         1
Vardas8972           Pavarde8972                      1         8         8         4         8         8         9         3         5         6         1         7         6         6         4         8
Vardas8973           Pavarde8973                      4         7         6         5         4         9         2         3         2         7         3        10         2         3         1         3
Vardas8974           Pavarde8974                     10         5         8         6         2         5         3         8         2         8         2         6         4         4         5         4
Vardas8975           Pavarde8975                     10         9         8         1         6         4         8         6         9        10         3        10         1         4         7         1
Vardas8976           Pavarde8976                      6         2        10         2         9         5         5         8         2         5        10         2         5        10         3         8
Vardas8977           Pavarde8977                      6         5         9         3        10         8         7        10         9         7         5         6         9         1         7         9
Vardas8978           Pavarde8978                      1         7         1        10        10         7         2         7        10         2         7         2         3         3         1         4
Vardas8979           Pavarde8979                      6         8        10         4         3        10         9        10         1         6        10         8        10        10         6         6
Vardas8980           Pavarde8980                      2        10         3         2        10        10         6         9         1         4        10         5         3         1         8         2
Vardas8981           Pavarde8981                      3         7         2         3         2        10         4        10         3         8         2         9         5         9        10        10
Vardas8982           Pavarde8982                      2         8         1         2         4         7         7         2         9         1         1         8         7         2         8         6
Vardas8983           Pavarde8983                      3         2         8        10         8         4         1         6         1         3         8         2         4         3         1         1
Vardas8984           Pavarde8984                      7         9         1         9         9         3         9         1         4         8        10         1         4         8         8         2
Vardas8985           Pavarde8985                      6         4         1         4         7         9         4         9         5         6         9         6         7         5         7        10
Vardas8986           Pavarde8986                      2         4         8         7         9         7         2        10         2         6         2        10         4         3         7         2
Vardas8987           Pavarde8987                      8        10         9         7         8         9         6         7        10         5         5         3         2         2         7         2
Vardas8988           Pavarde8988                      6         7         6         8         3         5         3         8         8        10         2         8         9         5         5         7
Vardas8989           Pavarde8989                      2         4         1         3         4         5         7        10         3         4         2         5         4         8         2         6
Vardas8990           Pavarde8990                      4         7         7         6        10         6        10         1         2         1         6         7        10        10         5         7
Vardas8991           Pavarde8991                      5         2        10         5        10         3         7        10         2         5         8         6        10         7         1         6
Vardas8992           Pavarde8992                      8         7         3         6         5         1         9        10        10         9         3         6        10         2         6         2
Vardas8993           Pavarde8993                      5        10         4         6        10        10         9         7         6         7         9         8        10         4         6         9
Vardas8994           Pavarde8994                      5        10        10         8         3         9         9         8         3         7         8         2         6         4        10         4
Vardas8995           Pavarde8995                      2         9        10         8         8         4         7         9        10         7         1         6         3         6         8         1
Vardas8996           Pavarde8996                      8         3         5         4         2         1         7         6         1         2         6         6         5         7         7         4
Vardas8997           Pavarde8997                     10         6         7         8         7         8         4         9         7         3         2         6         4        10         5         4
Vardas8998           Pavarde8998                      1         8         1        10         4         1        10         3         2         5         4         3         4         5         2         4
Vardas8999           Pavarde8999                      7         1         2         8         1         3         7         9         5         9         4         7         9        10         3         5
Vardas9000           Pavarde9000                      2         9         1         1         2         2         6         5         9         6         8         5         2         6         3         9
Vardas9001           Pavarde9001                      5         2         2         7         9         1         1         3         6         4         6         8         5        10         8         2
Vardas9002           Pavarde9002                      2        10         8         5         8         1         2         7         6         8         4         8         2         4         5         4
Vardas9003           Pavarde9003                      9        10         4         1         7         2         2         2         4         4         6        10         9        10         5         2
Vardas9004           Pavarde9004                      3        10         6         6         6         6         9         7        10         3         4         3        10         2         5         3
Vardas9005           Pavarde9005                      8         9         4         1         4         5         5         2         1         8         4         1         3         6         9         7
Vardas9006           Pavarde9006                      6         6         9         5        10         1         2         1         6         8         7         6        10         7         8         9
Vardas9007           Pavarde9007                      4         7         4         7         6        10         2         4         8         2        10         3         9         5         1         5
Vardas9008           Pavarde9008                      1        10        10         1         1         6         4         1         6         9         3         6         3         7         9         2
Vardas9009           Pavarde9009                      7        10         9         7         1         7         7         7         9         8         5         3        10         2         4         6
Vardas9010           Pavarde9010                      7         4         1         7         9         3         7         3        10         5         6         7         2         2         9         2
Vardas9011           Pavarde9011                      1         7         2         1         5         1         9         2         2        10         1         4         8         3         6         4
Vardas9012           Pavarde9012                      3         6         9        10         9         8         1         1         7         4         6         3         1         5         3         8
Vardas9013           Pavarde9013                      1         9         9         9        10         8         1        10         7         7        10         5         1         3         6         9
Vardas9014           Pavarde9014                      5         4        10         6         1         7        10         4         7         8         2         6         5         4         8         1
Vardas9015           Pavarde9015                      8         1         1         8         3         5         3        10        10         1         4         1         2         3         3         7
Vardas9016           Pavarde9016                      1         9         9         5         3         2         1         8         2         1         4        10         1         2         3        10
Vardas9017           Pavarde9017                      8        10         5         2         4         2         3         7         2         1         9         1         6         5        10         1
Vardas9018           Pavarde9018                      1         5         9         6         3         8         2         2        10         3        10         5         8         8         4         9
Vardas9019           Pavarde9019                      8         5         8         9         5         2         5         7         8         4         6         1         4         4         9         5
Vardas9020           Pavarde9020                      4         5         1         4         2         1         1         2         3         7         3         4         3         8         5         8
Vardas9021           Pavarde9021                      4        10         1         6         3         3         7         3         5         4         3         1         5        10         9        10
Vardas9022           Pavarde9022                      2         4         5         9         7         4         1         9        10         2         3         2         3         1        10         5
Vardas9023           Pavarde9023                     10         2         1         3         7         4         1         8         8         4         2         3         4         2         5         4
Vardas9024           Pavarde9024                      3         7         5         1         1         9         6         5         6         5         5         4         2         1         4         4
Vardas9025           Pavarde9025                      9         4         4         2         2         5         6         7         6         7         4         2        10         3         2         5
Vardas9026           Pavarde9026                      2         1         4         1         6         3         8         4         2         4         6         6         8         3         4         2
Vardas9027           Pavarde9027                      2        10        10         6         6        10         7         4         9         2         2         4         6         9         6         1
Vardas9028           Pavarde9028                      2         6         9         3         3         4         2        10         3         6         8        10         3         4         3         9
Vardas9029           Pavarde9029                      5         8         7         3         8         1         8         8         7         6         7         9         9         3         3         6
Vardas9030           Pavarde9030                      2         8         6         6        10         6         8         8         6         2         3         8         1         2         7         9
Vardas9031           Pavarde9031                      1         2        10         7         9         3         7         7         8         2         9         7        10         1         3         5
Vardas9032           Pavarde9032                      7         7         8         2         7         5         2         6         9        10         9         9        10         8         1         7
Vardas9033           Pavarde9033                      9         6        10         1         5         6         7         5         7         7        10         1         7         2         4         3
Vardas9034           Pavarde9034                      5         7        10         3         4         5         5         6         6         3         6        10         4         8         1         3
Vardas9035           Pavarde9035                     10         3         8         3         2         1         1         8        10         1         2         6         3         6         5         9
Vardas9036           Pavarde9036                      3         6         6         2         8        10         1         2         7         7         8        10         9         1         7         9
Vardas9037           Pavarde9037                      6         3         7         9         9         6        10         8         5         5         1         1         8         8         8         1
Vardas9038           Pavarde9038                      4        10         8         6         2        10         9         7         9         7        10         7         6         5         4         7
Vardas9039           Pavarde9039                      2         8         6         8         2         1         9         3         4         6         9         3         5         4         6         8
Vardas9040           Pavarde9040                      5         1         8         4         8         4         1         2         4         8         1         6         7         5         1         7
Vardas9041           Pavarde9041                      6         5         5         1         4         8         6         9         1         7         7         3         8         4         9         9
Vardas9042           Pavarde9042                      1         1         9         1         5         1         1         6         9         5         2         9         3         6         7         9
Vardas9043           Pavarde9043                      6         1         9         6         4         9         7         5         2         2         9         3         1         7         6         8
Vardas9044           Pavarde9044                      4         2         5         7         7         3         2         9         2         3         8        10         2         1         9         5
Vardas9045           Pavarde9045                      8         8         7         2         2         3         2         8         6         9         3         9         9         5         9         6
Vardas9046           Pavarde9046                      1         1         5         7         1         4         6         6         3        10         1         7         1         7         6         1
Vardas9047           Pavarde9047                      9        10         5         3         8         1         4         1         2         4         3         7        10         9         6        10
Vardas9048           Pavarde9048                      3         2         4         3        10         6         6         7         1         1         6         3         4         7         9         2
Vardas9049           Pavarde9049                      2         8         5         9         8         6         4         7         5         2         6         7         6         5         1         2
Vardas9050           Pavarde9050                      7         6         1         3         4         7         5         3         1         4         9         7         8        10         8         3
Vardas9051           Pavarde9051                      1         7         9         5         6         7         8         6         6         1         8         3         3         4         7         4
Vardas9052           Pavarde9052                      2         7         1         4         8         9         1         1         4         8         1         8         9         8        10         7
Vardas9053           Pavarde9053                      3         1         3         5         2         7         8         3         8         4         4         3         4         4         3         2
Vardas9054           Pavarde9054                      8         4        10         2         6         6         8         1         4         5         7         2         5         6         5         4
Vardas9055           Pavarde9055                      7         5         6         5         8         1         1         5        10         8         3         5         1         1         8         9
Vardas9056           Pavarde9056                      4         9         3         9         3         7         8         3         1        10         9         1        10         6         5         6
Vardas9057           Pavarde9057                      2         5         2         9         1         3         7         9         2         2         3        10         7         4         8         7
Vardas9058           Pavarde9058                      3         4         1         2         1         3         4         7         6         2         7         4         5         9         8         4
Vardas9059           Pavarde9059                      6         7         5        10         5        10         2        10         4         8         7         8         8        10         2         3
Vardas9060           Pavarde9060                      7         8         9         4         8         6         9         1        10         4        10         4         1         5         5         2
Vardas9061           Pavarde9061                      6         4         7         1         7         8         3         2         2        10         6         4        10         1         1         4
Vardas9062           Pavarde9062                      2         8         2         4         8         2         5         9         1         8         9         9        10        10         9         4
Vardas9063           Pavarde9063                      6         6         4         6         2         9         7         3         7         5         6         1         6         6         2         6
Vardas9064           Pavarde9064                      4         2         1         5         3         5        10        10         8         9         9         4         4         2         2         8
Vardas9065           Pavarde9065                      3         3         4        10         5         3         9         9         7         6         2         1         1         7         8         4
Vardas9066           Pavarde9066                      1         2         1         8         6         3         4        10         2         9         3         9         4         6         3         2
Vardas9067           Pavarde9067                      9         9        10         1         5         6         1         1        10         9         6         5         6         3         2         9
Vardas9068           Pavarde9068                      7         9         1         2         1         4         5         9         2         5         3         3        10         7         2         6
Vardas9069           Pavarde9069                      4        10         9         7         7         2        10         5         1         4        10         7         2         1         1         6
Vardas9070           Pavarde9070                      5         9         2         3         8         5         8         9         2         2         9         4         2         7         1         1
Vardas9071           Pavarde9071                      7        10         3         1         4         3         8         3         8         9         2        10         5         5         4         8
Vardas9072           Pavarde9072                      3         1         3         1        10         8         8         1         3         5         9         8         7         7         5         3
Vardas9073           Pavarde9073                      4         5         7         9         3         5         6        10         5         2        10         2         4        10         2         5
Vardas9074           Pavarde9074                     10         9         1         7         9         4         6         4         6         1         8         8         7         8         8         8
Vardas9075           Pavarde9075                      9         8         6         8         6         8         1         2         4         7         1         7        10         9         4        10
Vardas9076           Pavarde9076                      3         3         4         4         5         7         1         5         5        10         8         6         9         2         2        10
Vardas9077           Pavarde9077                      8         4         1         2        10         8        10         6         3        10         2         2         9         3         2         5
Vardas9078           Pavarde9078                      6         5         3         6         1         7         5         4         1         7         1         7         8         4         4         5
Vardas9079           Pavarde9079                      8         5         2         7        10         5         5        10         2         5         5         5         9         6         4         5
Vardas9080           Pavarde9080                     10         9         7         1        10         6         8         3         5         3         8         4         7         6         9         1
Vardas9081           Pavarde9081                      2         5         1         6         3        10         8        10         1         8         4         6         3        10         1         7
Vardas9082           Pavarde9082                      3         7         5         7         1         6         5         5         4         9         4        10         4         4         5         9
Vardas9083           Pavarde9083                      3         4         3         9         5        10         8         5         7         5        10         1         8         1        10         5
Vardas9084           Pavarde9084                      2         8         7         8         3         9         7         5         8         7         1         9         5         2         4         8
Vardas9085           Pavarde9085                     10        10        10         7         3         1         1         6         6         6        10         5         8         4         9        10
Vardas9086           Pavarde9086                      9        10         9         7         8         6        10         6         9         4         7         1         7         9        10         1
Vardas9087           Pavarde9087                      1         9         7         3         2         3         5         4         6         4        10         5         8         8         2         3
Vardas9088           Pavarde9088                      5         7        10        10         5         3         2        10         6         2         5         9         3         5         6        10
Vardas9089           Pavarde9089                      9         2         5         8         9        10         7         3         3         9         3         4         4         4        10         9
Vardas9090           Pavarde9090                      5         4         6        10         8         9         9         9         7         7         7         4         8         1         9         6
Vardas9091           Pavarde9091                      1         5         7         6         1         1         7         9         3         5         8        10        10         6         3         5
Vardas9092           Pavarde9092                      5         5         5         5         8         1         3         4         1         4         6         2         5         4         2        10
Vardas9093           Pavarde9093                      8         7         3         1        10         1         6         8         9        10         1         5         5         1         2         7
Vardas9094           Pavarde9094                      4         7         3         1         7         9         6         8        10         2         2         7         9         5         7         1
Vardas9095           Pavarde9095                      7         3         8         5         9         3         4         6         7         6         6         5        10         4         4         4
Vardas9096           Pavarde9096                      4         3         3         5         8         7         3         6         1         6         2         8         1         7         5        10
Vardas9097           Pavarde9097                     10         2         3         8         7         1         2         9         3         3         8         2         4         1         4         4
Vardas9098           Pavarde9098                      5         2         3         4         7         6         8         9        10        10         7         3        10         6         4         2
Vardas9099           Pavarde9099                      8         6         8         9         3         5         9         6         6         3         3         8         4         6         8         1
Vardas9100           Pavarde9100                      8         4         3         5        10         1         9         8        10        10         7         4         6         7        10         1
Vardas9101           Pavarde9101                      5         2         7         1         8         5         4         2         4         2         3         6         8         6         8         5
Vardas9102           Pavarde9102                      8         9         1         7        10         2         2         8         4         3         2        10         8         1        10         6
Vardas9103           Pavarde9103                      6        10         4         9         4         7         5         5         5        10         3         3         7         7         8         6
Vardas9104           Pavarde9104                      4         7         5         3         4        10         8         1         4         1        10        10         2         2         9         9
Vardas9105           Pavarde9105                      2         3         8         6         6         7        10         7         2        10         7         4         4         5         6         3
Vardas9106           Pavarde9106                      4         1         9         8        10         4        10         7         6         9         2         1         1         8        10         9
Vardas9107           Pavarde9107                      2         5         3         9         1         1        10         3         7         5         7         6         3         1         5         4
Vardas9108           Pavarde9108                      6         9         6         2         2         8         8         3         5         6         9         9         1         2         6         6
Vardas9109           Pavarde9109                      9         1         1         1         2         9         3         9         3         8         8         8        10        10         3         6
Vardas9110           Pavarde9110                      6         1         4         9         4         6         3         1         1         8         9         3         3         7         4        10
Vardas9111           Pavarde9111                      1         3         5         2         1         6         9         2         3         6         2         2        10         4         2         7
Vardas9112           Pavarde9112                      3         9         8         1         1         6         7         8         8         5         8         1         2         8         1         1
Vardas9113           Pavarde9113                      6         1         3         5         4         3         9         7         2         5         5         7        10         6         5         7
Vardas9114           Pavarde9114                      2         5         9         1         1         8         8        10         3         3         9         9         6         9        10         9
Vardas9115           Pavarde9115                      6         1         7         5         9         7         3         6         5        10         8         7         6         8         4         9
Vardas9116           Pavarde9116                      8         5        10         9        10         9         1         9         1         9         2         5         5         4         2         5
Vardas9117           Pavarde9117                      2         3         8         5         7         2         1         3         2         8         6         6         7         1         1         3
Vardas9118           Pavarde9118                      3         8         4         7         5         1         3         8         1         3        10         7        10         5         3         6
Vardas9119           Pavarde9119                      5        10         1         1         3         5         5         4         5         6         5         5         6         5        10         5
Vardas9120           Pavarde9120                      3         6         8        10         1         3         6         6         4         9         4         2         2         4         1         2
Vardas9121           Pavarde9121                      1        10         3         5         2         6         9         1         4         8         3         2         9        10         9         8
Vardas9122           Pavarde9122                      4         8         1         3         2         2         5        10         7         5         4         4         9         3         6         9
Vardas9123           Pavarde9123                      2         7         3         6         9         6         2         9         9         2         1         2         1         3        10         3
